4437,,,,,,,,5238
1937,,,Min,594,,,,
682,,,Max,7104,,,,
949,,,Average,913.8090874,,,,
900,,,90%,1382.3,,,,
763,,,99%,2567.32,,,,
953,,,Median,747,,,,
622,,,Mode,678,,,,
652,,,,,,,,
795,,,,,,,,
697,,,,,,,,
652,,,,,,,,
660,,,,,,,,
757,,,,,,,,
737,,,,,,,,
802,,,,,,,,
690,,,,,,,,
795,,,,,,,,
740,,,,,,,,
750,,,,,,,,
1144,,,,,,,,
737,,,,,,,,
778,,,,,,,,
1203,,,,,,,,
670,,,,,,,,
709,,,,,,,,
1605,,,,,,,,
695,,,,,,,,
759,,,,,,,,
1094,,,,,,,,
698,,,,,,,,
3170,,,,,,,,
721,,,,,,,,
713,,,,,,,,
1162,,,,,,,,
824,,,,,,,,
874,,,,,,,,
889,,,,,,,,
1324,,,,,,,,
1257,,,,,,,,
714,,,,,,,,
671,,,,,,,,
686,,,,,,,,
657,,,,,,,,
1047,,,,,,,,
693,,,,,,,,
793,,,,,,,,
677,,,,,,,,
698,,,,,,,,
754,,,,,,,,
672,,,,,,,,
1018,,,,,,,,
743,,,,,,,,
1092,,,,,,,,
710,,,,,,,,
754,,,,,,,,
815,,,,,,,,
928,,,,,,,,
697,,,,,,,,
684,,,,,,,,
695,,,,,,,,
685,,,,,,,,
1067,,,,,,,,
671,,,,,,,,
696,,,,,,,,
835,,,,,,,,
802,,,,,,,,
1165,,,,,,,,
700,,,,,,,,
713,,,,,,,,
678,,,,,,,,
692,,,,,,,,
697,,,,,,,,
697,,,,,,,,
689,,,,,,,,
778,,,,,,,,
1185,,,,,,,,
697,,,,,,,,
1042,,,,,,,,
695,,,,,,,,
662,,,,,,,,
653,,,,,,,,
727,,,,,,,,
763,,,,,,,,
913,,,,,,,,
1056,,,,,,,,
671,,,,,,,,
836,,,,,,,,
714,,,,,,,,
737,,,,,,,,
668,,,,,,,,
1075,,,,,,,,
827,,,,,,,,
1180,,,,,,,,
848,,,,,,,,
704,,,,,,,,
853,,,,,,,,
1085,,,,,,,,
677,,,,,,,,
706,,,,,,,,
696,,,,,,,,
790,,,,,,,,
707,,,,,,,,
683,,,,,,,,
1201,,,,,,,,
743,,,,,,,,
705,,,,,,,,
729,,,,,,,,
671,,,,,,,,
668,,,,,,,,
687,,,,,,,,
682,,,,,,,,
693,,,,,,,,
711,,,,,,,,
1071,,,,,,,,
1010,,,,,,,,
1083,,,,,,,,
646,,,,,,,,
690,,,,,,,,
691,,,,,,,,
701,,,,,,,,
824,,,,,,,,
681,,,,,,,,
674,,,,,,,,
693,,,,,,,,
746,,,,,,,,
680,,,,,,,,
1378,,,,,,,,
681,,,,,,,,
678,,,,,,,,
655,,,,,,,,
1027,,,,,,,,
1694,,,,,,,,
1745,,,,,,,,
684,,,,,,,,
747,,,,,,,,
667,,,,,,,,
681,,,,,,,,
710,,,,,,,,
744,,,,,,,,
695,,,,,,,,
668,,,,,,,,
