Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,3418,,,Total Duration(ms)
2019-05-22T12:03:37.427-0400,547,443,227,1227,,,,,,,,,549
2019-05-22T12:03:38.655-0400,1051,812,719,2585,,,,,,,,,549
2019-05-22T12:03:41.240-0400,1601,368,80,2054,,,,,,,,,549
2019-05-22T12:03:43.295-0400,448,578,75,1102,,,,,,,,,549
2019-05-22T12:03:44.397-0400,1065,534,61,1661,,,,,,,,,550
2019-05-22T12:03:46.058-0400,886,387,220,1496,,,,,,,,,551
2019-05-22T12:03:47.555-0400,994,353,215,1699,,,,,,,,,551
2019-05-22T12:03:49.255-0400,187,388,71,648,,,,,,,,,552
2019-05-22T12:03:49.904-0400,199,388,70,660,,,,,,,,,552
2019-05-22T12:03:50.564-0400,212,947,109,1269,,,,,,,,,552
2019-05-22T12:03:51.834-0400,235,284,55,614,,,,,,,,,552
2019-05-22T12:03:52.449-0400,262,323,89,682,,,,,,,,,552
2019-05-22T12:03:53.131-0400,202,1041,73,1325,,,,,,,,,553
2019-05-22T12:03:54.457-0400,285,354,86,734,,,,,,,,,553
2019-05-22T12:03:55.192-0400,267,329,113,722,,,,,,,,,554
2019-05-22T12:03:55.915-0400,198,1040,79,1319,,,,,,,,,554
2019-05-22T12:03:57.235-0400,262,327,108,699,,,,,,,,,554
2019-05-22T12:03:57.934-0400,281,287,80,652,,,,,,,,,555
2019-05-22T12:03:58.586-0400,219,1109,85,1416,,,,,,,,,555
2019-05-22T12:04:00.002-0400,230,606,79,917,,,,,,,,,555
2019-05-22T12:04:00.920-0400,204,532,60,805,,,,,,,,,555
2019-05-22T12:04:01.726-0400,198,758,80,1043,,,,,,,,,556
2019-05-22T12:04:02.769-0400,274,455,83,816,,,,,,,,,557
2019-05-22T12:04:03.585-0400,243,489,75,808,,,,,,,,,558
2019-05-22T12:04:04.394-0400,260,789,97,1148,,,,,,,,,558
2019-05-22T12:04:05.543-0400,254,370,67,693,,,,,,,,,558
2019-05-22T12:04:06.236-0400,211,374,80,671,,,,,,,,,558
2019-05-22T12:04:06.907-0400,182,814,91,1093,,,,,,,,,558
2019-05-22T12:04:08.001-0400,258,464,76,803,,,,,,,,,559
2019-05-22T12:04:08.804-0400,256,480,108,847,,,,,,,,,560
2019-05-22T12:04:09.652-0400,246,770,92,1112,,,,,,,,,560
2019-05-22T12:04:10.764-0400,264,460,80,819,,,,,,,,,560
2019-05-22T12:04:11.584-0400,252,354,68,697,,,,,,,,,560
2019-05-22T12:04:12.282-0400,293,671,83,1048,,,,,,,,,561
2019-05-22T12:04:13.331-0400,246,293,82,623,,,,,,,,,561
2019-05-22T12:04:13.954-0400,206,323,65,595,,,,,,,,,561
2019-05-22T12:04:14.549-0400,260,309,61,632,,,,,,,,,562
2019-05-22T12:04:15.182-0400,157,555,85,799,,,,,,,,,562
2019-05-22T12:04:15.981-0400,240,487,72,807,,,,,,,,,562
2019-05-22T12:04:16.789-0400,222,517,91,835,,,,,,,,,563
2019-05-22T12:04:17.625-0400,248,682,87,1018,,,,,,,,,563
2019-05-22T12:04:18.644-0400,236,494,86,819,,,,,,,,,563
2019-05-22T12:04:19.463-0400,271,345,84,702,,,,,,,,,564
2019-05-22T12:04:20.166-0400,237,916,81,1240,,,,,,,,,565
