3748,,,,,,,4542
1069,,,,,,,
880,,,Min,583,,,
886,,,Max,5645,,,
959,,,Average,943.9749009,,,
797,,,90%,1426.9,,,
738,,,99%,3624.59,,,
1201,,,Median,729,,,
746,,,Mode,667,,,
784,,,RPS,2.523333333,,,
695,,,,,,,
748,,,,,,,
653,,,,,,,
746,,,,,,,
3329,,,,,,,
725,,,,,,,
664,,,,,,,
729,,,,,,,
715,,,,,,,
756,,,,,,,
925,,,,,,,
746,,,,,,,
700,,,,,,,
648,,,,,,,
786,,,,,,,
761,,,,,,,
1949,,,,,,,
635,,,,,,,
947,,,,,,,
1078,,,,,,,
703,,,,,,,
615,,,,,,,
648,,,,,,,
1343,,,,,,,
3846,,,,,,,
661,,,,,,,
642,,,,,,,
685,,,,,,,
826,,,,,,,
987,,,,,,,
650,,,,,,,
674,,,,,,,
652,,,,,,,
637,,,,,,,
643,,,,,,,
610,,,,,,,
614,,,,,,,
687,,,,,,,
622,,,,,,,
730,,,,,,,
1059,,,,,,,
713,,,,,,,
694,,,,,,,
655,,,,,,,
675,,,,,,,
750,,,,,,,
650,,,,,,,
737,,,,,,,
2658,,,,,,,
626,,,,,,,
672,,,,,,,
647,,,,,,,
1060,,,,,,,
663,,,,,,,
632,,,,,,,
646,,,,,,,
714,,,,,,,
776,,,,,,,
733,,,,,,,
1215,,,,,,,
912,,,,,,,
717,,,,,,,
788,,,,,,,
749,,,,,,,
681,,,,,,,
745,,,,,,,
696,,,,,,,
941,,,,,,,
729,,,,,,,
628,,,,,,,
664,,,,,,,
710,,,,,,,
621,,,,,,,
801,,,,,,,
735,,,,,,,
780,,,,,,,
648,,,,,,,
626,,,,,,,
661,,,,,,,
665,,,,,,,
628,,,,,,,
664,,,,,,,
655,,,,,,,
637,,,,,,,
727,,,,,,,
699,,,,,,,
1052,,,,,,,
874,,,,,,,
642,,,,,,,
678,,,,,,,
703,,,,,,,
696,,,,,,,
636,,,,,,,
962,,,,,,,
711,,,,,,,
718,,,,,,,
725,,,,,,,
745,,,,,,,
670,,,,,,,
673,,,,,,,
683,,,,,,,
761,,,,,,,
642,,,,,,,
690,,,,,,,
684,,,,,,,
728,,,,,,,
681,,,,,,,
620,,,,,,,
692,,,,,,,
687,,,,,,,
943,,,,,,,
693,,,,,,,
643,,,,,,,
658,,,,,,,
651,,,,,,,
701,,,,,,,
669,,,,,,,
592,,,,,,,
717,,,,,,,
672,,,,,,,
692,,,,,,,
748,,,,,,,
712,,,,,,,
678,,,,,,,
651,,,,,,,
701,,,,,,,
753,,,,,,,
666,,,,,,,
686,,,,,,,
766,,,,,,,
687,,,,,,,
853,,,,,,,
1109,,,,,,,
926,,,,,,,
922,,,,,,,
913,,,,,,,
739,,,,,,,
806,,,,,,,
905,,,,,,,
1231,,,,,,,
665,,,,,,,
713,,,,,,,
1098,,,,,,,
638,,,,,,,
735,,,,,,,
652,,,,,,,
659,,,,,,,
689,,,,,,,
778,,,,,,,
849,,,,,,,
993,,,,,,,
1000,,,,,,,
675,,,,,,,
986,,,,,,,
625,,,,,,,
677,,,,,,,
726,,,,,,,
666,,,,,,,
734,,,,,,,
630,,,,,,,
649,,,,,,,
639,,,,,,,
1017,,,,,,,
645,,,,,,,
641,,,,,,,
629,,,,,,,
998,,,,,,,
681,,,,,,,
694,,,,,,,
904,,,,,,,
694,,,,,,,
798,,,,,,,
628,,,,,,,
633,,,,,,,
737,,,,,,,
625,,,,,,,
611,,,,,,,
670,,,,,,,
629,,,,,,,
1160,,,,,,,
673,,,,,,,
738,,,,,,,
695,,,,,,,
678,,,,,,,
1314,,,,,,,
699,,,,,,,
746,,,,,,,
799,,,,,,,
714,,,,,,,
892,,,,,,,
731,,,,,,,
761,,,,,,,
687,,,,,,,
740,,,,,,,
1400,,,,,,,
643,,,,,,,
691,,,,,,,
1186,,,,,,,
712,,,,,,,
814,,,,,,,
742,,,,,,,
1403,,,,,,,
1047,,,,,,,
685,,,,,,,
672,,,,,,,
678,,,,,,,
1013,,,,,,,
833,,,,,,,
1241,,,,,,,
1025,,,,,,,
737,,,,,,,
667,,,,,,,
1104,,,,,,,
1068,,,,,,,
724,,,,,,,
679,,,,,,,
703,,,,,,,
1939,,,,,,,
815,,,,,,,
641,,,,,,,
665,,,,,,,
944,,,,,,,
1678,,,,,,,
949,,,,,,,
976,,,,,,,
709,,,,,,,
662,,,,,,,
965,,,,,,,
971,,,,,,,
2129,,,,,,,
759,,,,,,,
788,,,,,,,
1571,,,,,,,
1668,,,,,,,
899,,,,,,,
866,,,,,,,
688,,,,,,,
3072,,,,,,,
823,,,,,,,
1712,,,,,,,
1307,,,,,,,
813,,,,,,,
684,,,,,,,
1146,,,,,,,
663,,,,,,,
692,,,,,,,
784,,,,,,,
656,,,,,,,
