Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,
2019-05-23T09:53:27.379-0400,732,622,363,1726,,,,,,
2019-05-23T09:53:29.106-0400,773,772,80,1634,,,,,,
2019-05-23T09:53:30.740-0400,210,330,65,607,,,,,,
2019-05-23T09:53:31.347-0400,242,327,70,640,,,,,,
2019-05-23T09:53:31.988-0400,202,234,61,499,,,,,,
2019-05-23T09:53:32.488-0400,184,722,99,1007,,,,,,
2019-05-23T09:53:33.495-0400,245,303,91,643,,,,,,
2019-05-23T09:53:34.139-0400,226,480,85,793,,,,,,
2019-05-23T09:53:34.933-0400,220,666,82,979,,,,,,
2019-05-23T09:53:35.913-0400,254,282,203,742,,,,,,
2019-05-23T09:53:36.655-0400,321,379,617,1323,,,,,,
2019-05-23T09:53:37.978-0400,212,556,94,864,,,,,,
2019-05-23T09:53:38.843-0400,266,453,106,827,,,,,,
2019-05-23T09:53:39.670-0400,408,331,184,930,,,,,,
2019-05-23T09:53:40.601-0400,233,325,78,648,,,,,,
2019-05-23T09:53:41.250-0400,188,321,197,711,,,,,,
2019-05-23T09:53:41.961-0400,214,309,72,596,,,,,,
2019-05-23T09:53:42.558-0400,221,713,166,1102,,,,,,
2019-05-23T09:53:43.660-0400,216,303,66,586,,,,,,
2019-05-23T09:53:44.247-0400,209,260,303,775,,,,,,
2019-05-23T09:53:45.023-0400,224,776,81,1082,,,,,,
2019-05-23T09:53:46.105-0400,228,297,419,948,,,,,,
2019-05-23T09:53:47.054-0400,208,261,402,872,,,,,,
2019-05-23T09:53:47.926-0400,227,467,205,901,,,,,,
2019-05-23T09:53:48.828-0400,238,321,322,884,,,,,,
2019-05-23T09:53:49.713-0400,232,299,158,696,,,,,,
2019-05-23T09:53:50.410-0400,261,665,277,1205,,,,,,
2019-05-23T09:53:51.615-0400,300,438,71,812,,,,,,
2019-05-23T09:53:52.428-0400,184,267,952,1404,,,,,,
2019-05-23T09:53:53.832-0400,208,330,157,695,,,,,,
2019-05-23T09:53:54.528-0400,197,303,563,1068,,,,,,
2019-05-23T09:53:55.597-0400,243,515,1273,2045,,,,,,
2019-05-23T09:53:57.642-0400,330,1049,156,1544,,,,,,
2019-05-23T09:53:59.187-0400,376,365,265,1007,,,,,,
2019-05-23T09:54:00.195-0400,283,319,69,675,,,,,,
2019-05-23T09:54:00.871-0400,179,523,1075,1778,,,,,,
2019-05-23T09:54:02.649-0400,223,351,73,649,,,,,,
2019-05-23T09:54:03.299-0400,226,421,116,771,,,,,,
2019-05-23T09:54:04.070-0400,908,485,87,1485,,,,,,
2019-05-23T09:54:05.555-0400,306,728,106,1145,,,,,,
2019-05-23T09:54:06.700-0400,353,281,190,831,,,,,,
2019-05-23T09:54:07.532-0400,272,423,102,801,,,,,,
2019-05-23T09:54:08.333-0400,227,448,171,849,,,,,,
2019-05-23T09:54:09.182-0400,343,547,90,984,,,,,,
2019-05-23T09:54:10.167-0400,267,455,87,810,,,,,,
2019-05-23T09:54:10.977-0400,236,371,119,738,,,,,,
2019-05-23T09:54:11.716-0400,253,339,70,663,,,,,,
2019-05-23T09:54:12.380-0400,317,317,234,869,,,,,,
2019-05-23T09:54:13.249-0400,309,708,112,1132,,,,,,
2019-05-23T09:54:14.382-0400,347,269,99,729,,,,,,
